case_id,aoa_deg,processing,x_profile_mm,y_mm,y_relative_mm,mean_velocity_ms,rms_velocity_ms,valid
aoa15,15,Overlap50MP3,20.1105204821,71.556055665,16.556055665,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,69.7782796621,14.7782796621,8.0302949155,0.3923822672,1
aoa15,15,Overlap50MP3,20.1105204821,68.0005036592,13.0005036592,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,66.2227276564,11.2227276564,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,64.4449516535,9.4449516535,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,62.6671756506,7.6671756506,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,60.8893996477,5.8893996477,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,59.1116236448,4.1116236448,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,57.3338476419,2.3338476419,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,55.5560716391,0.556071639099997,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,53.7782956362,-1.2217043638,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,52.0005196333,-2.9994803667,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,50.2227436304,-4.7772563696,12.0964545909,0.412161324,1
aoa15,15,Overlap50MP3,20.1105204821,48.4449676275,-6.5550323725,12.1708955275,0.2317666809,1
aoa15,15,Overlap50MP3,20.1105204821,46.6671916246,-8.3328083754,11.7966302799,0.2215647878,1
aoa15,15,Overlap50MP3,20.1105204821,44.8894156218,-10.1105843782,11.66899771,0.2194385553,1
aoa15,15,Overlap50MP3,20.1105204821,43.1116396189,-11.8883603811,11.5684553347,0.1809531229,1
aoa15,15,Overlap50MP3,20.1105204821,41.333863616,-13.666136384,11.4740166121,0.1775495422,1
aoa15,15,Overlap50MP3,20.1105204821,39.5560876131,-15.4439123869,11.4059227584,0.1806045904,1
aoa15,15,Overlap50MP3,20.1105204821,37.7783116102,-17.2216883898,11.3904234182,0.180017002,1
aoa15,15,Overlap50MP3,20.1105204821,36.0005356073,-18.9994643927,11.3406827651,0.1854534481,1
aoa15,15,Overlap50MP3,20.1105204821,34.2227596045,-20.7772403955,11.2945241148,0.1813535632,1
aoa15,15,Overlap50MP3,20.1105204821,32.4449836016,-22.5550163984,11.2730492807,0.1742208699,1
aoa15,15,Overlap50MP3,20.1105204821,30.6672075987,-24.3327924013,11.2342815991,0.1926058641,1
aoa15,15,Overlap50MP3,20.1105204821,28.8894315958,-26.1105684042,11.1983785174,0.1668881523,1
aoa15,15,Overlap50MP3,20.1105204821,27.1116555929,-27.8883444071,11.1624417851,0.1517484757,1
aoa15,15,Overlap50MP3,20.1105204821,25.33387959,-29.66612041,11.1641551037,0.1398556045,1
aoa15,15,Overlap50MP3,20.1105204821,23.5561035872,-31.4438964128,11.1658992091,0.1565731245,1
aoa15,15,Overlap50MP3,20.1105204821,21.7783275843,-33.2216724157,11.1299409976,0.143717787,1
aoa15,15,Overlap50MP3,20.1105204821,20.0005515814,-34.9994484186,11.0720053404,0.1234011814,1
aoa15,15,Overlap50MP3,20.1105204821,18.2227755785,-36.7772244215,11.0537881744,0.1387749022,1
aoa15,15,Overlap50MP3,20.1105204821,16.4449995756,-38.5550004244,11.0801172919,0.1278960473,1
aoa15,15,Overlap50MP3,20.1105204821,14.6672235727,-40.3327764273,11.0832396414,0.1201459185,1
aoa15,15,Overlap50MP3,20.1105204821,12.8894475698,-42.1105524302,11.0563864331,0.1192530915,1
