technique,case_id,aoa_deg,y_relative_mm,mean_velocity_ms,rms_velocity_ms,valid
PIV,aoa5,5,5.8893996477,-0,0,0
PIV,aoa5,5,4.1116236448,-0,0,0
PIV,aoa5,5,2.3338476419,-0,0,0
PIV,aoa5,5,0.556071639099997,-0,0,0
PIV,aoa5,5,-1.2217043638,-0,0,0
PIV,aoa5,5,-2.9994803667,13.2841860393,0.4980376599,1
PIV,aoa5,5,-4.7772563696,12.9573667578,0.3166111012,1
PIV,aoa5,5,-6.5550323725,12.6754016274,0.2596499029,1
PIV,aoa5,5,-8.3328083754,12.4550114348,0.2725702261,1
PIV,aoa5,5,-10.1105843782,12.205173355,0.1560771133,1
PIV,aoa5,5,-11.8883603811,12.0337799217,0.2372405477,1
PIV,aoa5,5,-13.666136384,12.036981744,0.2072403113,1
PIV,aoa5,5,-15.4439123869,11.870789124,0.1884468333,1
PIV,aoa5,5,-17.2216883898,11.7827669335,0.1540663423,1
PIV,aoa5,5,-18.9994643927,11.7473499961,0.1704561042,1
PIV,aoa5,5,-20.7772403955,11.6709272518,0.1804943868,1
PIV,aoa5,5,-22.5550163984,11.6163989006,0.2092109543,1
PIV,aoa5,5,-24.3327924013,11.5811172818,0.1713993848,1
PIV,aoa5,5,-26.1105684042,11.4897779977,0.2172569245,1
PIV,aoa5,5,-27.8883444071,11.4311664638,0.1609420914,1
PIV,aoa5,5,-29.66612041,11.330809525,0.2055481586,1
PIV,aoa5,5,-31.4438964128,11.2531030447,0.2135850449,1
PIV,aoa5,5,-33.2216724157,11.2277526596,0.1659263124,1
PIV,aoa5,5,-34.9994484186,11.1938363974,0.1932505288,1
PIV,aoa5,5,-36.7772244215,11.2007283342,0.1515709708,1
PIV,aoa5,5,-38.5550004244,11.1165852746,0.1999128627,1
PIV,aoa5,5,-40.3327764273,11.0428402618,0.159290626,1
PIV,aoa5,5,-42.1105524302,11.0070495876,0.1483574245,1
PIV,aoa5,5,-43.888328433,11.0098397266,0.1375043781,1
PIV,aoa5,5,-45.6661044359,11.0115594889,0.1182926164,1
PIV,aoa5,5,-47.4438804388,11.0170824892,0.1283650642,1
PIV,aoa5,5,-49.2216564417,10.9752110733,0.1223237233,1
PIV,aoa5,5,-50.9994324446,10.903824469,0.0846353568,1
PIV,aoa5,5,-52.7772084475,10.9301664739,0.1144748018,1
PIV,aoa5,5,-54.5549844503,10.9669308687,0.1264039302,1
PIV,aoa5,5,-56.3327604532,10.9444944855,0.094795209,1
PIV,aoa5,5,-58.1105364561,10.9253315218,0.0911579812,1
PIV,aoa5,5,-59.888312459,10.8625036348,0.135869201,1
PIV,aoa5,5,-61.6660884619,10.779328568,0.1169688196,1
PIV,aoa5,5,-63.4438644648,10.7782717948,0.1652171543,1
PIV,aoa15,15,71.6671117544,-0,0,0
PIV,aoa15,15,69.8893357515,-0,0,0
PIV,aoa15,15,68.1115597486,-0,0,0
PIV,aoa15,15,66.3337837458,-0,0,0
PIV,aoa15,15,64.5560077429,-0,0,0
PIV,aoa15,15,62.77823174,-0,0,0
PIV,aoa15,15,61.0004557371,-0,0,0
PIV,aoa15,15,59.2226797342,-0,0,0
PIV,aoa15,15,57.4449037313,-0,0,0
PIV,aoa15,15,55.6671277285,-0,0,0
PIV,aoa15,15,53.8893517256,-0,0,0
PIV,aoa15,15,52.1115757227,-0,0,0
PIV,aoa15,15,50.3337997198,-0,0,0
PIV,aoa15,15,48.5560237169,-0,0,0
PIV,aoa15,15,46.778247714,-0,0,0
PIV,aoa15,15,45.0004717112,-0,0,0
PIV,aoa15,15,43.2226957083,-0,0,0
PIV,aoa15,15,41.4449197054,-0,0,0
PIV,aoa15,15,39.6671437025,-0,0,0
PIV,aoa15,15,37.8893676996,-0,0,0
PIV,aoa15,15,36.1115916967,-0,0,0
PIV,aoa15,15,34.3338156939,-0,0,0
PIV,aoa15,15,32.556039691,-0,0,0
PIV,aoa15,15,30.7782636881,-0,0,0
PIV,aoa15,15,29.0004876852,-0,0,0
PIV,aoa15,15,27.2227116823,-0,0,0
PIV,aoa15,15,25.4449356794,-0,0,0
PIV,aoa15,15,23.6671596766,-0,0,0
PIV,aoa15,15,21.8893836737,-0,0,0
PIV,aoa15,15,20.1116076708,-0,0,0
PIV,aoa15,15,18.3338316679,-0,0,0
PIV,aoa15,15,16.556055665,-0,0,0
PIV,aoa15,15,14.7782796621,8.0302949155,0.3923822672,1
PIV,aoa15,15,13.0005036592,-0,0,0
PIV,aoa15,15,11.2227276564,-0,0,0
PIV,aoa15,15,9.4449516535,-0,0,0
PIV,aoa15,15,7.6671756506,-0,0,0
PIV,aoa15,15,5.8893996477,-0,0,0
PIV,aoa15,15,4.1116236448,-0,0,0
PIV,aoa15,15,2.3338476419,-0,0,0
PIV,aoa15,15,0.556071639099997,-0,0,0
PIV,aoa15,15,-1.2217043638,-0,0,0
PIV,aoa15,15,-2.9994803667,-0,0,0
PIV,aoa15,15,-4.7772563696,12.0964545909,0.412161324,1
PIV,aoa15,15,-6.5550323725,12.1708955275,0.2317666809,1
PIV,aoa15,15,-8.3328083754,11.7966302799,0.2215647878,1
PIV,aoa15,15,-10.1105843782,11.66899771,0.2194385553,1
PIV,aoa15,15,-11.8883603811,11.5684553347,0.1809531229,1
PIV,aoa15,15,-13.666136384,11.4740166121,0.1775495422,1
PIV,aoa15,15,-15.4439123869,11.4059227584,0.1806045904,1
PIV,aoa15,15,-17.2216883898,11.3904234182,0.180017002,1
PIV,aoa15,15,-18.9994643927,11.3406827651,0.1854534481,1
PIV,aoa15,15,-20.7772403955,11.2945241148,0.1813535632,1
PIV,aoa15,15,-22.5550163984,11.2730492807,0.1742208699,1
PIV,aoa15,15,-24.3327924013,11.2342815991,0.1926058641,1
PIV,aoa15,15,-26.1105684042,11.1983785174,0.1668881523,1
PIV,aoa15,15,-27.8883444071,11.1624417851,0.1517484757,1
PIV,aoa15,15,-29.66612041,11.1641551037,0.1398556045,1
PIV,aoa15,15,-31.4438964128,11.1658992091,0.1565731245,1
PIV,aoa15,15,-33.2216724157,11.1299409976,0.143717787,1
PIV,aoa15,15,-34.9994484186,11.0720053404,0.1234011814,1
PIV,aoa15,15,-36.7772244215,11.0537881744,0.1387749022,1
PIV,aoa15,15,-38.5550004244,11.0801172919,0.1278960473,1
PIV,aoa15,15,-40.3327764273,11.0832396414,0.1201459185,1
PIV,aoa15,15,-42.1105524302,11.0563864331,0.1192530915,1
PIV,aoa15,15,-43.888328433,11.035035462,0.1194498493,1
PIV,aoa15,15,-45.6661044359,11.0102270669,0.1192226292,1
PIV,aoa15,15,-47.4438804388,11.0100896005,0.1188828562,1
PIV,aoa15,15,-49.2216564417,10.9950635171,0.1110352212,1
PIV,aoa15,15,-50.9994324446,10.9830831744,0.0989400658,1
PIV,aoa15,15,-52.7772084475,11.0102557057,0.0947366224,1
PIV,aoa15,15,-54.5549844503,11.0060207373,0.0993033875,1
PIV,aoa15,15,-56.3327604532,10.9909789026,0.0910200002,1
PIV,aoa15,15,-58.1105364561,10.9800861198,0.09523684,1
PIV,aoa15,15,-59.888312459,10.9622176316,0.0990320121,1
PIV,aoa15,15,-61.6660884619,10.9413155743,0.086063635,1
PIV,aoa15,15,-63.4438644648,10.9314552217,0.1265558615,1
