window_size_px,row_index,col_index,x_mm,y_mm,vx_image_ms,vy_image_ms,u_streamwise_ms,v_normal_ms,speed_ms
32,13,5,15.9984570133529,90.6579230756664,-7.50678350851768,0,7.50678350851768,0,7.50678350851768
32,14,5,15.9984570133529,87.1027104060324,-3.00271340340707,-3.00271340340707,3.00271340340707,-3.00271340340707,4.24647801901776
32,15,5,15.9984570133529,83.5474977363984,-4.50407010511061,-3.00271340340707,4.50407010511061,-3.00271340340707,5.4132185707536
32,16,5,15.9984570133529,79.9922850667645,-7.50678350851768,-3.00271340340707,7.50678350851768,-3.00271340340707,8.08505327296942
32,17,5,15.9984570133529,76.4370723971305,-4.50407010511061,-1.50135670170354,4.50407010511061,-1.50135670170354,4.74770675774118
32,18,5,15.9984570133529,72.8818597274965,-4.50407010511061,-3.00271340340707,4.50407010511061,-3.00271340340707,5.4132185707536
32,19,5,15.9984570133529,69.3266470578625,-4.50407010511061,-3.00271340340707,4.50407010511061,-3.00271340340707,5.4132185707536
32,20,5,15.9984570133529,65.7714343882286,-3.00271340340707,-3.00271340340707,3.00271340340707,-3.00271340340707,4.24647801901776
32,21,5,15.9984570133529,62.2162217185946,-7.50678350851768,-3.00271340340707,7.50678350851768,-3.00271340340707,8.08505327296942
32,22,5,15.9984570133529,58.6610090489606,-10.5094969119248,-3.00271340340707,10.5094969119248,-3.00271340340707,10.9300417714095
32,23,5,15.9984570133529,55.1057963793266,-10.5094969119248,-3.00271340340707,10.5094969119248,-3.00271340340707,10.9300417714095
32,24,5,15.9984570133529,51.5505837096927,-10.5094969119248,-3.00271340340707,10.5094969119248,-3.00271340340707,10.9300417714095
32,25,5,15.9984570133529,47.9953710400587,-10.5094969119248,-3.00271340340707,10.5094969119248,-3.00271340340707,10.9300417714095
32,26,5,15.9984570133529,44.4401583704247,-10.5094969119248,-3.00271340340707,10.5094969119248,-3.00271340340707,10.9300417714095
32,27,5,15.9984570133529,40.8849457007907,-10.5094969119248,-1.50135670170354,10.5094969119248,-1.50135670170354,10.6161950475444
32,28,5,15.9984570133529,37.3297330311567,-10.5094969119248,-1.50135670170354,10.5094969119248,-1.50135670170354,10.6161950475444
