case_id,aoa_deg,processing,x_mm,y_mm,y_relative_mm,u_rms_ms,v_rms_ms,speed_rms_ms,valid
aoa0,0,Overlap50MP3,-123.8893357515,119.5560077429,64.5560077429,0.2238902392,0.2001068685,0.30028253034419,1
aoa0,0,Overlap50MP3,-123.8893357515,117.77823174,62.77823174,0.2511591134,0.2317647567,0.341754009035862,1
aoa0,0,Overlap50MP3,-123.8893357515,116.0004557371,61.0004557371,0.2808058615,0.2144691796,0.353339724416961,1
aoa0,0,Overlap50MP3,-123.8893357515,114.2226797342,59.2226797342,0.2914563999,0.2342329996,0.373914336639132,1
aoa0,0,Overlap50MP3,-123.8893357515,112.4449037313,57.4449037313,0.2508664602,0.2387796168,0.346337532260702,1
aoa0,0,Overlap50MP3,-123.8893357515,110.6671277285,55.6671277285,0.2406839431,0.2184079822,0.325008933961575,1
aoa0,0,Overlap50MP3,-123.8893357515,108.8893517256,53.8893517256,0.3253383626,0.2386406066,0.403477867171999,1
aoa0,0,Overlap50MP3,-123.8893357515,107.1115757227,52.1115757227,0.3112263952,0.1963730797,0.368000347146642,1
aoa0,0,Overlap50MP3,-123.8893357515,105.3337997198,50.3337997198,0.2897499278,0.1956146203,0.349599914667064,1
aoa0,0,Overlap50MP3,-123.8893357515,103.5560237169,48.5560237169,0.3514451935,0.2141640864,0.411557990977941,1
aoa0,0,Overlap50MP3,-123.8893357515,101.778247714,46.778247714,0.3262863529,0.2707708343,0.424004279219327,1
aoa0,0,Overlap50MP3,-123.8893357515,100.0004717112,45.0004717112,0.3322396742,0.2599438762,0.421845967014505,1
aoa0,0,Overlap50MP3,-123.8893357515,98.2226957083,43.2226957083,0.3143304427,0.2086682036,0.377287750134601,1
aoa0,0,Overlap50MP3,-123.8893357515,96.4449197054,41.4449197054,0.3020905829,0.2571535806,0.396719906599433,1
aoa0,0,Overlap50MP3,-123.8893357515,94.6671437025,39.6671437025,0.3240740697,0.2047694059,0.383346465021603,1
aoa0,0,Overlap50MP3,-123.8893357515,92.8893676996,37.8893676996,0.3488030367,0.17499498,0.390239415534031,1
aoa0,0,Overlap50MP3,-123.8893357515,91.1115916967,36.1115916967,0.3002190124,0.1817220757,0.350933566652077,1
aoa0,0,Overlap50MP3,-123.8893357515,89.3338156939,34.3338156939,0.3685719133,0.1563328827,0.400356373106405,1
aoa0,0,Overlap50MP3,-123.8893357515,87.556039691,32.556039691,0.2680872632,0.1807719486,0.323340807957652,1
aoa0,0,Overlap50MP3,-123.8893357515,85.7782636881,30.7782636881,0.237647443,0.1785065381,0.297221956303509,1
aoa0,0,Overlap50MP3,-123.8893357515,84.0004876852,29.0004876852,0.2668297049,0.1693634318,0.316041236942419,1
aoa0,0,Overlap50MP3,-123.8893357515,82.2227116823,27.2227116823,0.2972257166,0.1409375373,0.328947588573883,1
aoa0,0,Overlap50MP3,-123.8893357515,80.4449356794,25.4449356794,0.2010557314,0.1861745875,0.274015299134162,1
aoa0,0,Overlap50MP3,-123.8893357515,78.6671596766,23.6671596766,0.2043403603,0.2327602697,0.309729439992957,1
aoa0,0,Overlap50MP3,-123.8893357515,76.8893836737,21.8893836737,0.228861293,0.389117171,0.4514306859316,1
aoa0,0,Overlap50MP3,-123.8893357515,75.1116076708,20.1116076708,0.3196687225,0.358415999,0.480260471498488,1
aoa0,0,Overlap50MP3,-123.8893357515,73.3338316679,18.3338316679,0.5128076941,0.6674869187,0.841730668185364,1
aoa0,0,Overlap50MP3,-123.8893357515,71.556055665,16.556055665,0.5900314757,0.8932481915,1.0705276614524,1
aoa0,0,Overlap50MP3,-123.8893357515,69.7782796621,14.7782796621,0.7506218912,1.2449928399,1.45376765507798,1
aoa0,0,Overlap50MP3,-123.8893357515,68.0005036592,13.0005036592,0.9878156994,1.4898295042,1.78756029480572,1
aoa0,0,Overlap50MP3,-123.8893357515,66.2227276564,11.2227276564,0.77044413,1.7605102157,1.92171287580521,1
aoa0,0,Overlap50MP3,-123.8893357515,64.4449516535,9.4449516535,0.6766008716,1.918969991,2.03475663552387,1
aoa0,0,Overlap50MP3,-123.8893357515,62.6671756506,7.6671756506,0.9366990395,1.7197285077,1.95828272493945,1
aoa0,0,Overlap50MP3,-123.8893357515,60.8893996477,5.8893996477,0.8915567996,1.182320945,1.48079584815014,1
aoa0,0,Overlap50MP3,-123.8893357515,59.1116236448,4.1116236448,0.6781730544,0.7271200984,0.994294890468341,1
aoa0,0,Overlap50MP3,-123.8893357515,57.3338476419,2.3338476419,0.4239146144,0.3931789639,0.578181025246746,1
aoa0,0,Overlap50MP3,-123.8893357515,55.5560716391,0.556071639099997,0.2757378608,0.2211909167,0.353492276449071,1
aoa0,0,Overlap50MP3,-123.8893357515,53.7782956362,-1.2217043638,0.2074210045,0.1483196011,0.254994464995325,1
aoa0,0,Overlap50MP3,-123.8893357515,52.0005196333,-2.9994803667,0.1847129662,0.1615006159,0.245359590842668,1
aoa0,0,Overlap50MP3,-123.8893357515,50.2227436304,-4.7772563696,0.1977011836,0.1614422084,0.255243696591924,1
