x_mm,y_mm,y_relative_mm,davis_u_streamwise_ms,davis_v_normal_ms,self_u_streamwise_ms,self_v_normal_ms,difference_u_ms,difference_v_ms,valid
-110.5560157299,68.8893916607,13.8893916607,5.5227869196,1.8102667992,4.50407010511061,-1.50135670170354,-1.01871681448939,-3.31162350090354,1
-110.5560157299,65.3338396549,10.3338396549,5.0579670921,3.0537995952,4.50407010511061,-3.00271340340707,-0.553896986989389,-6.05651299860707,1
-110.5560157299,61.7782876492,6.7782876492,5.7471235443,3.7312356022,4.50407010511061,-3.00271340340707,-1.24305343918939,-6.73394900560707,1
-110.5560157299,58.2227356434,3.2227356434,2.8402999075,2.5069967927,3.00271340340707,-3.00271340340707,0.162413495907074,-5.50971019610707,1
-110.5560157299,54.6671836376,-0.332816362400003,8.2337380746,3.0918248149,7.50678350851768,-3.00271340340707,-0.726954566082315,-6.09453821830707,1
-110.5560157299,51.1116316319,-3.8883683681,9.875240486,3.2759940348,10.5094969119248,-3.00271340340707,0.634256425924763,-6.27870743820707,1
-110.5560157299,47.5560796261,-7.4439203739,10.5914133879,3.5876891449,10.5094969119248,-3.00271340340707,-0.0819164759752375,-6.59040254830707,1
-110.5560157299,44.0005276203,-10.9994723797,10.8114778137,3.2098454743,10.5094969119248,-3.00271340340707,-0.301980901775238,-6.21255887770707,1
-110.5560157299,40.4449756145,-14.5550243855,10.6495781558,2.6688234215,10.5094969119248,-3.00271340340707,-0.140081243875239,-5.67153682490707,1
-110.5560157299,36.8894236088,-18.1105763912,10.7634612187,2.3759468931,10.5094969119248,-3.00271340340707,-0.253964306775238,-5.37866029650707,1
-110.5560157299,33.333871603,-21.666128397,11.1621267579,1.9146696902,10.5094969119248,-1.50135670170354,-0.652629845975238,-3.41602639190354,1
-110.5560157299,29.7783195972,-25.2216804028,10.9843855257,1.9038170018,10.5094969119248,-1.50135670170354,-0.474888613775239,-3.40517370350354,1
-110.5560157299,26.2227675915,-28.7772324085,11.0841188538,1.768106131,10.5094969119248,-1.50135670170354,-0.574621941875238,-3.26946283270354,1
-110.5560157299,22.6672155857,-32.3327844143,11.0060393525,1.5331874549,10.5094969119248,-1.50135670170354,-0.496542440575238,-3.03454415660354,1
-110.5560157299,19.1116635799,-35.8883364201,11.0137661116,1.3473886851,10.5094969119248,-1.50135670170354,-0.504269199675239,-2.84874538680354,1
-110.5560157299,15.5561115742,-39.4438884258,10.9709116675,1.1385714477,10.5094969119248,-1.50135670170354,-0.461414755575237,-2.63992814940354,1
-110.5560157299,12.0005595684,-42.9994404316,10.9358698989,1.3155022007,10.5094969119248,-1.50135670170354,-0.426372986975238,-2.81685890240354,1
-110.5560157299,8.4450075626,-46.5549924374,11.0160643785,1.1426037964,10.5094969119248,-1.50135670170354,-0.506567466575238,-2.64396049810354,1
-110.5560157299,4.8894555569,-50.1105444431,10.8296942638,1.0857542672,10.5094969119248,-1.50135670170354,-0.320197351875239,-2.58711096890354,1
-110.5560157299,1.3339035511,-53.6660964489,10.6528451314,0.9757811219,10.5094969119248,-1.50135670170354,-0.143348219475238,-2.47713782360354,1
-110.5560157299,-2.2216484547,-57.2216484547,10.8117019126,0.9727468368,10.5094969119248,-1.50135670170354,-0.302205000675238,-2.47410353850354,1
-110.5560157299,-5.7772004604,-60.7772004604,10.7377635876,0.9159331061,10.5094969119248,-1.50135670170354,-0.228266675675238,-2.41728980780354,1
-107.0004637241,125.778223753,70.778223753,10.6213975373,-0.2971694905,10.5094969119248,0,-0.111900625375238,0.2971694905,1
-107.0004637241,122.2226717472,67.2226717472,10.9232222712,0.3166739724,10.5094969119248,0,-0.413725359275238,-0.3166739724,1
-107.0004637241,118.6671197414,63.6671197414,11.2133172523,0.1292442207,10.5094969119248,0,-0.703820340375238,-0.1292442207,1
-107.0004637241,115.1115677357,60.1115677357,11.0900356381,-0.4991821395,10.5094969119248,0,-0.580538726175238,0.4991821395,1
-107.0004637241,111.5560157299,56.5560157299,10.8332855743,-0.1133224576,10.5094969119248,0,-0.323788662375238,0.1133224576,1
-107.0004637241,108.0004637241,53.0004637241,10.8800835867,-0.6532963288,10.5094969119248,0,-0.370586674775238,0.6532963288,1
-107.0004637241,104.4449117184,49.4449117184,10.3503688639,0.0824096938,10.5094969119248,0,0.159128048024762,-0.0824096938,1
-107.0004637241,100.8893597126,45.8893597126,10.8686165951,0.2040116401,10.5094969119248,0,-0.359119683175239,-0.2040116401,1
-107.0004637241,97.3338077068,42.3338077068,10.1103080841,0.1276748123,10.5094969119248,0,0.399188827824762,-0.1276748123,1
-107.0004637241,93.7782557011,38.7782557011,9.9893233048,0.2335253965,10.5094969119248,0,0.520173607124763,-0.2335253965,1
-107.0004637241,90.2227036953,35.2227036953,9.5063750917,0.3435042696,9.00814021022122,0,-0.498234881478778,-0.3435042696,1
