aoa_deg,position_mm,y_relative_mm,mean_velocity_ms,rms_velocity_ms,sample_rate_hz,n_samples,file_name
5,31,-24,9.62077610704724,0.0271259598054987,51200.0024000048,512000,aoa5_31_10.txt
5,35,-20,9.61083825373582,0.0346640182434135,51200.0024000048,512000,aoa5_35_10.txt
5,39,-16,9.61061255890451,0.0713380272048454,51200.0024000048,512000,aoa5_39_10.txt
5,43,-12,9.51864161177204,0.414409601935822,51200.0024000048,512000,aoa5_43_10.txt
5,47,-8,7.27710103593895,0.848350572983728,51200.0024000048,512000,aoa5_47_10.txt
5,51,-4,9.27993136694398,0.627031167913448,51200.0024000048,512000,aoa5_51_10.txt
5,55,0,9.71657502062367,0.159630717637903,51200.0024000048,512000,aoa5_55_10.txt
5,59,4,9.773462652241,0.0592716976337175,51200.0024000048,512000,aoa5_59_10.txt
5,63,8,9.8220447937036,0.0348062925735913,51200.0024000048,512000,aoa5_63_10.txt
5,67,12,9.87481751499456,0.0266517124602338,51200.0024000048,512000,aoa5_67_10.txt
5,71,16,9.92086570821498,0.0245303673699529,51200.0024000048,512000,aoa5_71_10.txt
5,75,20,9.97124506706695,0.0240673992649908,51200.0024000048,512000,aoa5_75_10.txt
5,79,24,10.0027693229659,0.0236827463102412,51200.0024000048,512000,aoa5_79_10.txt
5,83,28,10.0346335611241,0.0234943634007218,51200.0024000048,512000,aoa5_83_10.txt
5,87,32,10.0572082074886,0.0237593071882118,51200.0024000048,512000,aoa5_87_10.txt
5,91,36,10.0836696170153,0.0226157354665947,51200.0024000048,512000,aoa5_91_10.txt
15,15,-40,11.0477582986308,0.268831934324772,51200.0024000048,512000,aoa15_15_10.txt
15,19,-36,11.1834744473612,0.360784164546279,51200.0024000048,512000,aoa15_19_10.txt
15,23,-32,11.3380046108632,0.539762142746281,51200.0024000048,512000,aoa15_23_10.txt
15,27,-28,11.5411843670747,0.836398282764383,51200.0024000048,512000,aoa15_27_10.txt
15,31,-24,11.3640010987493,1.70757115046106,51200.0024000048,512000,aoa15_31_10.txt
15,35,-20,8.04546975074226,2.93091969920204,51200.0024000048,512000,aoa15_35_10.txt
15,39,-16,4.48305483851128,2.41310462828854,51200.0024000048,512000,aoa15_39_10.txt
15,43,-12,4.03635660826867,1.94236344808542,51200.0024000048,512000,aoa15_43_10.txt
15,47,-8,4.12016160723778,1.88119848277286,51200.0024000048,512000,aoa15_47_10.txt
15,51,-4,3.78010490638906,1.78869034449639,51200.0024000048,512000,aoa15_51_10.txt
15,55,0,3.70140199830407,1.84330754373887,51200.0024000048,512000,aoa15_55_10.txt
15,59,4,4.34514279713844,2.18379270505478,51200.0024000048,512000,aoa15_59_10.txt
15,63,8,5.83666188565668,2.43622084302872,51200.0024000048,512000,aoa15_63_10.txt
15,67,12,7.72379453744507,2.42061057273674,51200.0024000048,512000,aoa15_67_10.txt
15,71,16,9.60311219261837,2.07591231635571,51200.0024000048,512000,aoa15_71_10.txt
15,75,20,10.8997538487539,1.43294037592542,51200.0024000048,512000,aoa15_75_10.txt
15,79,24,11.4496834813402,0.921061712987632,51200.0024000048,512000,aoa15_79_10.txt
15,83,28,11.575000173901,0.586938164743616,51200.0024000048,512000,aoa15_83_10.txt
15,87,32,11.5307403218206,0.427582586208598,51200.0024000048,512000,aoa15_87_10.txt
15,91,36,11.4434643492596,0.31702496810773,51200.0024000048,512000,aoa15_91_10.txt
